"字詞名","注音一式","釋義"
"八","ㄅㄚ","1.介於七與九之間的自然數。大寫作「捌」，阿拉伯數字作「8」。
2.表示數量是八的。[例]八字、八方
3.表示多方面，泛指多數。[例]四通八達

（原「八」字口語連用在去聲字前讀成陽平。[例]八號、八拜。今多不變調。）"
"八拜之交","ㄅㄚ　ㄅㄞˋ　ㄓ　ㄐㄧㄠ","稱結拜為異姓兄弟姊妹的朋友。古時因為對父執輩需行八拜禮，所以朋友若相交親密如同手足，經過約定，互視對方父執如同自己的親人，即可稱為「八拜之交」。[例]容我在此向各位介紹這位來賓，他是我八拜之交，情同手足的好兄弟。"
"八寶飯","ㄅㄚ　ㄅㄠˇ　ㄈㄢˋ","一種甜點。以適量的糯米、蓮子、紅棗、黑棗、紅豆沙、桂圓肉、葡萄乾、糖、豬油（或植物油）等材料配合製成。"
"八寶粥","ㄅㄚ　ㄅㄠˇ　ㄓㄡ","用糯米、蓮子、桂圓肉、紅棗、冬瓜糖、葡萄乾、豬油、糖等多種材料煮成的粥品。[例]傳統的宴席，常用八寶粥作為飯後甜點。"
"八面玲瓏","ㄅㄚ　ㄇㄧㄢˋ　ㄌㄧㄥˊ　ㄌㄨㄥˊ","形容人處世圓滑，面面俱到。[例]他為人處世八面玲瓏，很吃得開。"
"八面威風","ㄅㄚ　ㄇㄧㄢˋ　ㄨㄟ　ㄈㄥ","比喻聲勢浩大、神氣十足的樣子。[例]我國代表隊的王牌投手在冠亞軍決戰中，三振對方二十人次，真是八面威風。"
"八方","ㄅㄚ　ㄈㄤ","東、南、西、北、東南、西南、東北、西北八個方向的總稱，一般泛指所有的方向。[例]四面八方"
"八德","ㄅㄚ　ㄉㄜˊ","忠、孝、仁、愛、信、義、和、平八種美德。[例]四維八德"
"八年抗戰","ㄅㄚ　ㄋㄧㄢˊ　ㄎㄤˋ　ㄓㄢˋ","民國二十六年七七事變後至三十四年間，抵抗日本對華侵略的戰爭。經過八年的艱苦奮戰，我國終於獲得最後的勝利。[例]他們是一群歷經八年抗戰洗禮的勇士。"
"八哥","ㄅㄚ　ㄍㄜ","動物名。鳥綱燕雀目八哥科。毛色純黑，頭及背部微帶綠色光澤。頭上羽毛細長而尖，呈柳葉狀。善於模仿人聲或其他鳥類的鳴聲。[例]做人不能學八哥，只會模仿，不能創新。　△八八兒"
"八股文","ㄅㄚ　ㄍㄨˇ　ㄨㄣˊ","1.明、清兩代科舉考試時所規定的應考文體。文章結構分為破題、承題、起講、提比、虛比、中比、後比、大結八部分，全文對格式、體裁、用語、字數有嚴格規定。其體制源於宋、元的經義。明成化以後漸成定式，清光緒末年廢除。[例]《紅樓夢》中，寫賈寶玉喜歡詩詞，最討厭呆板的八股文。
2.比喻內容空洞、死板的文章。[例]文章寫作要有創意，別老作那些人云亦云，了無新意的八股文。"
"八卦","ㄅㄚ　ㄍㄨㄚˋ","《易經》中的八種符號。相傳為伏羲氏所作，三爻成卦，爻有陰、陽之別，由陰、陽爻組成八種不同的形式，即為八卦，借以象徵自然現象及人事的變化。八卦為乾（☰）、坤（☷）、震（☳）、艮（☶）、離（☲）、坎（☵）、兌（☱）、巽（☴）。[例]傳統的算命方法，常以八卦​來​推算​命運​的​吉凶。"
"八家將","ㄅㄚ　ㄐㄧㄚ　ㄐㄧㄤˋ","陰曹鬼役。在臺灣的迎神賽會中，常見由八人裝扮成牛頭、馬面、白無常、黑無常、夜叉、鬼卒、司枷、攜鎖差役八位鬼役，有如官府的家將，列隊於主神駕前，舞蹈遊行，以驅除惡鬼，警惕世人。"
"八仙","ㄅㄚ　ㄒㄧㄢ","神話傳說中的八位仙人，為漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。[例]八仙過海，各顯神通。"
"八仙過海","ㄅㄚ　ㄒㄧㄢ　ㄍㄨㄛˋ　ㄏㄞˇ","(歇後語)各顯神通。傳說漢鍾離、張果老等八位仙人俱赴蟠桃大會，歸途遇海，呂洞賓倡議不得乘雲，須各以寶物投水乘之而過，於是八仙各顯神通。後比喻為達目的，各自施展本領。[例]每位候選人為了當選，無不卯足了勁全力動員，真可說是八仙過海－－各顯神通！"
"八成","ㄅㄚ　ㄔㄥˊ","1.百分之八十或十分之八。[例]經過大會統計，這次的投票率高達八成。
2.多半、大概。常用於可能性的猜測。[例]他不在寢室，八成上圖書館去了。"
"八字","ㄅㄚ　ㄗˋ","相命家依照人出生的年、月、日、時的時間所轉換成的四組干支，共八個字，以推斷其一生的禍福吉凶。[例]算命先生說他八字很好，將來可望大富大貴。"
"八二三炮戰","ㄅㄚ　ㄦˋ　ㄙㄢ　ㄆㄠˋ　ㄓㄢˋ","民國四十七年八月二十三日，共軍對我金門前線發動猛烈炮擊，島上軍民及海空部隊英勇奮戰，終於贏得反共史上一次重要的勝利，粉碎中共犯臺的野心，並使金門成為反共的重要據點。此役遂稱為「八二三炮戰」。[例]八二三炮戰是國軍建軍史上值得一提的壯烈史蹟。"
"八一七公報","ㄅㄚ　ㄧ　ㄑㄧ　ㄍㄨㄥ　ㄅㄠˋ","西元一九八二年八月十七日，美國與中共共同發表有關美國對中華民國軍售問題的聯合公報。全稱為「美中對臺灣問題公報」。主要內容在於限制美國出售給中華民國的武器數量及性能。"
